MEETINGNAME,NORMALVENUECODE,FORMVENUECODE,COMMENTS
ANGLE-PARK,ANG,A,
BULLI,BUL,C,
CENTRAL-PARK,,X,
DONCASTER,,V,
DUBBO,DUB,C,
DUNSTALL-PARK,,Q,
GEELONG,GEL,E,
GEELONG-EXTRA,,H,
GRAFTON,GRA,S,
GREAT-YARMOUTH,,U,
HARLOW,,F,
HARLOW-EXTRA,,G,
HOBART,HOB,T,
HORSHAM,HOR,P,
KINSLEY,,G,
MAITLAND,MTL,I,
MANDURAH,MRD,W,
MONMORE,,R,
NORTHAM,NOR,W,
NOTTINGHAM,,U,
Q1-LAKESIDE,QLE,B,
Q-STRAIGHT,,B,
Q-STRAIGHT-EXTRA,,D,
ROMFORD,,Z,
SANDOWN-PARK,SAN,M,
SHEPPARTON,SHE,E,
SHEPPARTON-EXTRA,,N,
SUNDERLAND,,O,
TRARALGON,TRL,Y,
WAGGA,WAG,J,"ADDED 13/08/26 JM https://form.tab.com.au/racing/2026-08-14/WAGGA/WAG/G/6, changed from ""H"" to ""J"" at 11:31pm."
WARRNAMBOOL,WBL,P,
WARRNAMBOOL-EXTRA,,H,
YOUGHAL,,K,
WARRAGUL,WRG,M,ADDED 13/08/26 JM https://form.tab.com.au/racing/2026-08-11/WARRAGUL/M/G/3
